,rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,raerr1,raerr2,decstr,dec,decerr1,decerr2,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmrasymerr,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,st_pmdecsymerr,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tranmidsymerr,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbpersymerr,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandurhsymerr,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandepsymerr,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radesymerr,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_insolsymerr,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_eqtsymerr,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_tmagsymerr,st_dist,st_disterr1,st_disterr2,st_distlim,st_distsymerr,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffsymerr,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_loggsymerr,st_rad,st_raderr1,st_raderr2,st_radlim,st_radsymerr,toi_created,rowupdate,hour_angle_at_19,hour_angle_at_22,alt_at_19,alt_at_22,az_at_19,az_at_22
163,164,1141.01,1141,159510109,159510109.0,1,FP,16h30m08.33s,247.534722,,,+80d18m27.96s,80.307766,,,-18.335,0.054,-0.054,0.0,1.0,66.536,0.067,-0.067,0.0,1.0,2460289.874,4.1e-05,-4.1e-05,0,1,16.9487087,6e-07,-6e-07,0,1,4.2887767,0.0011975,-0.0011975,0,1,156467.548,41.571255,-41.571255,0,1,45.2204505,2.1992197,-2.1992197,0,1,78.263287,,,,,758.5937679,,,,,8.8523,0.006,-0.006,0,1,97.3391,0.2589,-0.2589,0,1,5894.7,90.3,-90.3,0,1,4.37,0.08,-0.08,0,1,1.1179,0.0543668,-0.0543668,0,1,2019/8/27 16:09,2024/5/17 10:08,37.46527800000001,82.46527800000001,42.44256353885156,35.69518521545521,353.45189520375686,350.2397049274919
193,194,1169.01,1169,302518439,302518439.0,1,PC,08h56m28.81s,134.120039,,,+72d31m59.79s,72.533276,,,-5.684,0.035,-0.035,0.0,1.0,7.67,0.039,-0.039,0.0,1.0,2460323.761,0.000657,-0.000657,0,1,6.7075429,3.4e-06,-3.4e-06,0,1,2.125,0.081,-0.081,0,1,11920.0,91.0502,-91.0502,0,1,17.4647,2.59032,-2.59032,0,1,225.822,,,,,1079.0,,,,,10.6405,0.007,-0.007,0,1,259.0,1.6565,-1.6565,0,1,6134.3,420.6,-420.6,0,1,,,,0,1,1.24,0.16,-0.16,0,1,2019/8/27 16:09,2024/5/17 10:08,150.879961,195.879961,19.410689643931235,18.097970750402,352.68267095078164,4.063631584432173
320,321,1268.01,1268,142394656,142394656.0,1,CP,13h13m33.26s,198.388583,,,+62d18m19.37s,62.30538,,,-66.989,0.077,-0.077,0.0,1.0,-15.318,0.065,-0.065,0.0,1.0,2460359.607,0.00028,-0.00028,0,1,8.157721,2.3e-06,-2.3e-06,0,1,3.788,0.046,-0.046,0,1,10273.0,64.4301,-64.4301,0,1,9.31888,0.554542,-0.554542,0,1,91.0972,,,,,860.0,,,,,10.1495,0.006,-0.006,0,1,109.557,0.5425,-0.5425,0,1,5091.2,83.2,-83.2,0,1,4.47,0.08,-0.08,0,1,0.9,0.05,-0.05,0,1,2019/10/17 0:30,2024/5/8 10:08,86.61141699999999,131.611417,32.03036631632791,14.77637434456507,331.82606076646954,342.4920382060028
565,566,1474.01,1474,427654774,427654774.0,1,FP,23h17m09.38s,349.289072,,,+70d11m26.07s,70.190576,,,136.449,0.073,-0.073,0.0,1.0,129.094,0.061,-0.061,0.0,1.0,2458765.042,0.003388,-0.003388,0,1,5.222621,0.0014355,-0.0014355,0,1,4.693629,0.6133603,-0.6133603,0,1,15867.99202,2007.716,-2007.716,0,1,3.7216015,0.3812006,-0.3812006,0,1,2.7908584,,,,,329.6508495,,,,,14.1431,0.008,-0.008,0,1,83.8106,0.3077,-0.3077,0,1,3453.0,157.0,-157.0,0,1,4.95337,0.0086427,-0.0086427,0,1,0.275946,0.0084829,-0.0084829,0,1,2019/12/5 16:42,2021/10/29 12:59,-64.28907199999998,-19.289071999999976,41.30510093685655,53.288538444293316,20.022781090383706,8.87597662806311
611,612,1516.01,1516,376637093,376637093.0,1,CP,22h40m20.31s,340.08462,,,+69d30m13.43s,69.503731,,,16.223,0.041,-0.041,0.0,1.0,-1.325,0.041,-0.041,0.0,1.0,2460449.201,9.5e-05,-9.5e-05,0,1,2.0560153,2e-07,-2e-07,0,1,2.773,0.051,-0.051,0,1,17453.0,61.2207,-61.2207,0,1,17.2767,0.743032,-0.743032,0,1,1899.83,,,,,1839.0,,,,,10.377,0.006,-0.006,0,1,247.054,1.361,-1.361,0,1,6485.0,136.0,-136.0,0,1,4.37,0.09,-0.09,0,1,1.24,0.05,-0.05,0,1,2019/12/5 21:41,2024/8/24 10:08,-55.08461999999997,-10.084619999999973,44.542166270796955,55.05056776533557,19.826131991393943,5.039246203912473
668,669,1567.01,1567,259151170,259151170.0,1,FP,03h21m23.01s,50.345888,,,+52d41m31.6s,52.692112,,,121.807,0.069,-0.069,0.0,1.0,-92.923,0.055,-0.055,0.0,1.0,2458808.522,,,0,1,,,,0,1,4.149,0.042,-0.042,0,1,54500.0,1.19002,-1.19002,0,1,21.0557,1.45218,-1.45218,0,1,,,,,,,,,,,10.374,0.006,-0.006,0,1,86.1112,0.24515,-0.24515,0,1,4503.5,105.7,-105.7,0,1,4.42,0.09,-0.09,0,1,0.86,0.06,-0.06,0,1,2019/12/19 20:58,2023/8/10 12:03,234.654112,279.654112,9.72934129447439,32.648089836314554,25.405376498005985,39.52421261466567
685,686,1582.01,1582,374400599,374400599.0,1,FP,02h18m47.49s,34.69789,,,+64d21m22.98s,64.356382,,,-4.588,0.033,-0.033,0.0,1.0,-2.918,0.051,-0.051,0.0,1.0,2458791.815,0.00212,-0.00212,0,1,1.89253,0.00027,-0.00027,0,1,3.451,0.089,-0.089,0,1,14119.9,942.243,-942.243,0,1,26.7733,6.95592,-6.95592,0,1,28527.4,,,,,3620.0,,,,,10.0188,0.006,-0.006,0,1,386.181,4.9215,-4.9215,0,1,6904.3,96.1,-96.1,0,1,4.05,0.08,-0.08,0,1,2.05,0.06,-0.06,0,1,2019/12/19 20:58,2021/10/29 12:59,250.30211,295.30210999999997,23.427666133050135,41.958632646705425,22.095613534768642,26.876481907146434
692,693,1589.01,1589,52041724,52041724.01,1,FP,00h56m28.68s,14.119486,,,+65d40m44.54s,65.679038,,,-0.493,0.127,-0.127,0.0,1.0,11.141,0.124,-0.124,0.0,1.0,2458942.422,0.002646,-0.002646,0,1,35.4028219,0.0013918,-0.0013918,0,1,4.221,1.379,-1.379,0,1,12666.0,2736.61,-2736.61,0,1,21.7639,2.59877,-2.59877,0,1,57.342,,,,,766.0,,,,,9.87542,0.006,-0.006,0,1,278.829,7.176,-7.176,0,1,7455.0,409.9,-409.9,0,1,4.17,0.1,-0.1,0,1,1.78,0.08,-0.08,0,1,2019/12/19 20:58,2024/8/6 10:08,270.880514,315.880514,31.860805004703703,49.89494334087461,24.423411482908097,22.15258576746408
721,722,1615.01,1615,317507345,317507345.0,1,FP,23h24m41.93s,351.174718,,,+77d37m37.61s,77.627113,,,12.588,0.054,-0.054,0.0,1.0,2.736,0.047,-0.047,0.0,1.0,2460473.279,0.000144,-0.000144,0,1,3.9401791,8e-07,-8e-07,0,1,1.991,0.148,-0.148,0,1,13317.0,5183.76,-5183.76,0,1,25.3897,2.96422,-2.96422,0,1,1090.26,,,,,1600.0,,,,,9.68708,0.006,-0.006,0,1,260.494,2.111,-2.111,0,1,7170.0,213.8,-213.8,0,1,4.31,0.08,-0.08,0,1,1.51,0.05,-0.05,0,1,2019/12/19 20:58,2024/8/16 10:08,-66.17471799999998,-21.174717999999984,39.135496473719954,46.379577794564945,12.07631519150587,5.28400496391587
740,741,1632.01,1632,51024887,51024887.01,1,FP,02h48m37.25s,42.155188,,,+62d11m21.34s,62.18926,,,112.945,0.128,-0.128,0.0,1.0,-104.348,0.161,-0.161,0.0,1.0,2458797.345,0.004051,-0.004051,0,1,8.2491871,0.0031995,-0.0031995,0,1,4.9807847,0.3442086,-0.3442086,0,1,117724.0283,11101.498,-11101.498,0,1,8.0476984,35.753082,-35.753082,0,1,1.1552603,,,,,264.4172054,,,,,14.9885,0.011,-0.011,0,1,41.5305,0.15765,-0.15765,0,1,2990.0,158.0,-158.0,0,1,5.13581,0.0381304,-0.0381304,0,1,0.165066,0.0050239,-0.0050239,0,1,2020/1/14 19:46,2021/10/29 12:59,242.844812,287.844812,19.444770921896655,38.64102682106376,21.882077609058047,29.51787613138683
761,762,1651.01,1651,138168780,138168780.0,1,KP,06h19m10.31s,94.792955,,,+73d49m39.24s,73.827567,,,-16.643,0.055,-0.055,0.0,1.0,-22.593,0.111,-0.111,0.0,1.0,2460474.182,0.000102,-0.000102,0,1,3.7649949,4e-07,-4e-07,0,1,2.642,0.017,-0.017,0,1,14735.0,72.808,-72.808,0,1,17.8182,0.731822,-0.731822,0,1,580.386,,,,,1367.0,,,,,9.88278,0.006,-0.006,0,1,235.479,2.418,-2.418,0,1,6724.0,164.0,-164.0,0,1,4.29,0.09,-0.09,0,1,1.42,0.06,-0.06,0,1,2020/1/29 22:18,2024/8/29 10:08,190.207045,235.207045,19.04629251313917,24.878103324694983,2.4525273932219385,12.047753587763745
814,815,1696.01,1696,470381900,470381900.0,1,CP,04h21m07.36s,65.280648,,,+48d49m11.39s,48.819831,,,12.93,0.127,-0.127,0.0,1.0,-19.178,0.078,-0.078,0.0,1.0,2459911.832,0.00212,-0.00212,0,1,2.5005291,0.0003706,-0.0003706,0,1,0.8809865,0.3441977,-0.3441977,0,1,12579.35048,1583.843,-1583.843,0,1,3.1713853,1.1981618,-1.1981618,0,1,13.8080731,,,,,491.6465759,,,,,13.9664,0.007,-0.007,0,1,64.9172,0.35625,-0.35625,0,1,3181.0,157.0,-157.0,0,1,4.94798,0.0080613,-0.0080613,0,1,0.280475,0.0085728,-0.0085728,0,1,2020/1/30 21:16,2023/3/6 16:02,219.71935200000001,264.719352,0.9646932651531567,22.46129270593071,20.80650354948887,39.50969793500257
